head_type	head	relation	tail_type	tail
type2	type2:node_53	rel_2	type0	type0:node_0
type2	type2:node_5	rel_0	type2	type2:node_2
type0	type0:node_63	rel_0	type0	type0:node_141
type1	type1:node_43	rel_0	type0	type0:node_0
type1	type1:node_4	rel_0	type1	type1:node_28
type1	type1:node_37	rel_3	type2	type2:node_74
type1	type1:node_4	rel_0	type1	type1:node_43
type0	type0:node_87	rel_3	type2	type2:node_2
type2	type2:node_11	rel_2	type2	type2:node_2
type1	type1:node_1	rel_2	type2	type2:node_14
type1	type1:node_121	rel_0	type1	type1:node_46
type0	type0:node_78	rel_3	type0	type0:node_33
type0	type0:node_0	rel_2	type2	type2:node_8
type1	type1:node_40	rel_0	type1	type1:node_70
type2	type2:node_59	rel_0	type2	type2:node_92
type1	type1:node_124	rel_3	type0	type0:node_129
type1	type1:node_7	rel_2	type2	type2:node_53
type2	type2:node_2	rel_2	type0	type0:node_12
type0	type0:node_69	rel_0	type1	type1:node_64
type2	type2:node_47	rel_1	type2	type2:node_2
type2	type2:node_2	rel_1	type2	type2:node_14
type2	type2:node_65	rel_0	type2	type2:node_119
type1	type1:node_4	rel_2	type0	type0:node_0
type1	type1:node_16	rel_2	type0	type0:node_0
type1	type1:node_4	rel_3	type0	type0:node_27
type2	type2:node_2	rel_2	type2	type2:node_2
type2	type2:node_83	rel_3	type1	type1:node_19
type0	type0:node_12	rel_1	type0	type0:node_198
type2	type2:node_29	rel_0	type1	type1:node_1
type0	type0:node_126	rel_1	type2	type2:node_2
type0	type0:node_99	rel_0	type0	type0:node_18
type2	type2:node_14	rel_3	type2	type2:node_44
type2	type2:node_32	rel_0	type2	type2:node_182
type1	type1:node_64	rel_2	type1	type1:node_1
type0	type0:node_90	rel_2	type2	type2:node_11
type1	type1:node_19	rel_2	type0	type0:node_21
type0	type0:node_183	rel_0	type1	type1:node_88
type2	type2:node_131	rel_1	type2	type2:node_8
type2	type2:node_2	rel_0	type1	type1:node_88
type0	type0:node_45	rel_0	type2	type2:node_26
type0	type0:node_159	rel_2	type2	type2:node_134
type2	type2:node_5	rel_0	type2	type2:node_5
type0	type0:node_0	rel_0	type2	type2:node_26
type0	type0:node_186	rel_1	type0	type0:node_33
type1	type1:node_1	rel_1	type0	type0:node_24
type0	type0:node_6	rel_3	type2	type2:node_131
type1	type1:node_178	rel_1	type0	type0:node_159
type1	type1:node_73	rel_2	type1	type1:node_16
type2	type2:node_20	rel_0	type0	type0:node_30
type2	type2:node_5	rel_0	type0	type0:node_0
type0	type0:node_42	rel_1	type1	type1:node_4
type0	type0:node_0	rel_0	type2	type2:node_71
type1	type1:node_4	rel_2	type0	type0:node_147
type0	type0:node_0	rel_3	type2	type2:node_5
type1	type1:node_4	rel_3	type1	type1:node_1
type2	type2:node_5	rel_3	type0	type0:node_24
type0	type0:node_3	rel_3	type1	type1:node_1
type0	type0:node_12	rel_0	type2	type2:node_17
type2	type2:node_62	rel_0	type1	type1:node_190
type0	type0:node_0	rel_0	type2	type2:node_77
type2	type2:node_5	rel_3	type0	type0:node_3
type2	type2:node_2	rel_3	type0	type0:node_3
type2	type2:node_5	rel_3	type0	type0:node_156
type0	type0:node_105	rel_0	type1	type1:node_124
type0	type0:node_0	rel_0	type1	type1:node_199
type1	type1:node_181	rel_1	type2	type2:node_158
type2	type2:node_2	rel_1	type2	type2:node_26
type2	type2:node_128	rel_1	type2	type2:node_146
type2	type2:node_14	rel_2	type2	type2:node_191
type2	type2:node_158	rel_2	type0	type0:node_96
type0	type0:node_18	rel_3	type0	type0:node_174
type2	type2:node_2	rel_0	type2	type2:node_8
type2	type2:node_41	rel_2	type1	type1:node_34
type0	type0:node_0	rel_1	type0	type0:node_42
type0	type0:node_0	rel_1	type2	type2:node_29
type0	type0:node_0	rel_1	type0	type0:node_0
type1	type1:node_16	rel_1	type1	type1:node_166
type2	type2:node_41	rel_0	type0	type0:node_0
type0	type0:node_18	rel_2	type0	type0:node_42
type0	type0:node_162	rel_2	type0	type0:node_3
type2	type2:node_5	rel_2	type0	type0:node_15
type1	type1:node_22	rel_0	type0	type0:node_159
